Country,Date,Confirmed,Deaths,Recovered,Recover Rate,Death Rate
Afghanistan,43885,1,,,0,0
Afghanistan,43886,1,,,0,0
Afghanistan,43887,1,,,0,0
Afghanistan,43888,1,,,0,0
Afghanistan,43889,1,,,0,0
Afghanistan,43890,1,,,0,0
Afghanistan,43891,1,,,0,0
Afghanistan,43892,1,,,0,0
Afghanistan,43893,1,,,0,0
Afghanistan,43894,1,,,0,0
Afghanistan,43895,1,,,0,0
Afghanistan,43896,1,,,0,0
Afghanistan,43897,1,,,0,0
Afghanistan,43898,4,,,0,0
Afghanistan,43899,4,,,0,0
Afghanistan,43900,5,,,0,0
Afghanistan,43901,7,,,0,0
Afghanistan,43902,7,,,0,0
Afghanistan,43903,7,,,0,0
Afghanistan,43904,11,,,0,0
Afghanistan,43905,16,,,0,0
Afghanistan,43906,21,,1,0.047619048,0
Afghanistan,43907,22,,1,0.045454545,0
Afghanistan,43908,22,,1,0.045454545,0
Afghanistan,43909,22,,1,0.045454545,0
Afghanistan,43910,24,,1,0.041666667,0
Afghanistan,43911,24,,1,0.041666667,0
Afghanistan,43912,40,1,1,0.025,0.025
Afghanistan,43913,40,1,1,0.025,0.025
Afghanistan,43914,74,1,1,0.013513514,0.013513514
Afghanistan,43915,84,2,2,0.023809524,0.023809524
Afghanistan,43916,94,4,2,0.021276596,0.042553191
Afghanistan,43917,110,4,2,0.018181818,0.036363636
Afghanistan,43918,110,4,2,0.018181818,0.036363636
Afghanistan,43919,120,4,2,0.016666667,0.033333333
Afghanistan,43920,170,4,2,0.011764706,0.023529412
Afghanistan,43921,174,4,5,0.028735632,0.022988506
Albania,43899,2,,,0,0
Albania,43900,10,,,0,0
Albania,43901,12,1,,0,0.083333333
Albania,43902,23,1,,0,0.043478261
Albania,43903,33,1,,0,0.03030303
Albania,43904,38,1,,0,0.026315789
Albania,43905,42,1,,0,0.023809524
Albania,43906,51,1,,0,0.019607843
Albania,43907,55,1,,0,0.018181818
Albania,43908,59,2,,0,0.033898305
Albania,43909,64,2,,0,0.03125
Albania,43910,70,2,,0,0.028571429
Albania,43911,76,2,2,0.026315789,0.026315789
Albania,43912,89,2,2,0.02247191,0.02247191
Albania,43913,104,4,2,0.019230769,0.038461538
Albania,43914,123,5,10,0.081300813,0.040650407
Albania,43915,146,5,17,0.116438356,0.034246575
Albania,43916,174,6,17,0.097701149,0.034482759
Albania,43917,186,8,31,0.166666667,0.043010753
Albania,43918,197,10,31,0.157360406,0.050761421
Albania,43919,212,10,33,0.155660377,0.047169811
Albania,43920,223,11,44,0.197309417,0.049327354
Albania,43921,243,15,52,0.21399177,0.061728395
Algeria,43886,1,,,0,0
Algeria,43887,1,,,0,0
Algeria,43888,1,,,0,0
Algeria,43889,1,,,0,0
Algeria,43890,1,,,0,0
Algeria,43891,1,,,0,0
Algeria,43892,3,,,0,0
Algeria,43893,5,,,0,0
Algeria,43894,12,,,0,0
Algeria,43895,12,,,0,0
