Country/Region,Date,Confirmed,Deaths,Recovered
Afghanistan,43919,120,,
Albania,43919,212,,
Algeria,43919,511,,
Andorra,43919,334,,
Argentina,43919,745,,
Armenia,43919,424,,
Australia,43919,3826,,191
Austria,43919,8788,,479
Azerbaijan,43919,209,,
Bahrain,43919,499,,272
Belgium,43919,10836,431,1359
Bosnia and Herzegovina,43919,323,,
Brazil,43919,4256,136,
Brunei,43919,126,,
Bulgaria,43919,346,,
Burkina Faso,43919,222,,
Cambodia,43919,103,,
Cameroon,43919,139,,
Canada,43919,6113,,466
Chile,43919,2139,,
China,43919,81722,3182,75239
Colombia,43919,702,,
Costa Rica,43919,314,,
Cote d'Ivoire,43919,165,,
Croatia,43919,713,,
Cuba,43919,139,,
Cyprus,43919,214,,
Czechia,43919,2817,,
Denmark,43919,2554,,
Diamond Princess,43919,712,,603
Dominican Republic,43919,859,,
Ecuador,43919,1924,,
Egypt,43919,609,,132
Estonia,43919,679,,
Finland,43919,1240,,
France,43919,40463,2606,7202
Germany,43919,62095,533,9211
Ghana,43919,152,,
Greece,43919,1156,,
Honduras,43919,110,,
Hungary,43919,408,,
Iceland,43919,1020,,135
India,43919,1024,,
Indonesia,43919,1285,114,
Iran,43919,38309,2640,12391
Iraq,43919,547,,143
Ireland,43919,2615,,
Israel,43919,4247,,132
Italy,43919,97689,10779,13030
Japan,43919,1866,,424
Jordan,43919,259,,
Kazakhstan,43919,284,,
"Korea, South",43919,9583,152,5033
Kuwait,43919,255,,
Latvia,43919,347,,
Lebanon,43919,438,,
Lithuania,43919,460,,
Luxembourg,43919,1950,,
Malaysia,43919,2470,,388
Malta,43919,151,,
Mauritius,43919,107,,
Mexico,43919,848,,
Moldova,43919,263,,
Morocco,43919,479,,
Netherlands,43919,10866,771,250
New Zealand,43919,514,,
Nigeria,43919,111,,
North Macedonia,43919,259,,
Norway,43919,4284,,
Oman,43919,167,,
Pakistan,43919,1597,,
Panama,43919,901,,
Peru,43919,852,,
Philippines,43919,1418,,
Poland,43919,1862,,
Portugal,43919,5962,119,
Qatar,43919,634,,
Romania,43919,1815,,206
Russia,43919,1534,,
San Marino,43919,224,,
Saudi Arabia,43919,1299,,
Senegal,43919,142,,
Serbia,43919,741,,
Singapore,43919,844,,212
Slovakia,43919,314,,
Slovenia,43919,730,,
South Africa,43919,1280,,
Spain,43919,80110,6803,14709
Sri Lanka,43919,117,,
Sweden,43919,3700,110,
Switzerland,43919,14829,300,1595
Taiwan*,43919,298,,
Thailand,43919,1388,,
Tunisia,43919,312,,
Turkey,43919,9217,131,105
US,43919,140886,2467,2665
Ukraine,43919,475,,
United Arab Emirates,43919,570,,
United Kingdom,43919,19630,1228,135
Uruguay,43919,304,,
Uzbekistan,43919,144,,
Venezuela,43919,119,,
Vietnam,43919,188,,
West Bank and Gaza,43919,109,,
