startDate,endDate,taskName,status
9/12/2012 1:36,9/12/2012 2:36,E Job,RUNNING
9/12/2012 4:56,9/12/2012 6:35,A Job,RUNNING
9/12/2012 6:29,9/12/2012 6:34,D Job,RUNNING
9/12/2012 5:35,9/12/2012 6:21,P Job,RUNNING
9/12/2012 5:00,9/12/2012 5:05,D Job,RUNNING
9/12/2012 3:46,9/12/2012 4:54,P Job,RUNNING
9/12/2012 4:02,9/12/2012 4:48,N Job,RUNNING
9/12/2012 3:27,9/12/2012 3:58,E Job,SUCCEEDED
9/12/2012 1:40,9/12/2012 3:26,A Job,SUCCEEDED
9/12/2012 3:00,9/12/2012 3:09,D Job,SUCCEEDED
9/12/2012 1:21,9/12/2012 2:51,P Job,SUCCEEDED
9/12/2012 1:08,9/12/2012 1:33,N Job,FAILED
9/12/2012 0:27,9/12/2012 0:54,E Job,SUCCEEDED
9/12/2012 0:29,9/12/2012 0:44,D Job,SUCCEEDED
9/12/2012 7:39,9/12/2012 7:43,P Job,RUNNING
9/12/2012 7:00,9/12/2012 7:05,D Job,RUNNING
9/12/2012 8:46,9/12/2012 9:54,P Job,RUNNING
9/12/2012 9:02,9/12/2012 9:48,N Job,RUNNING
9/12/2012 8:27,9/12/2012 8:58,E Job,SUCCEEDED
9/12/2012 8:40,9/12/2012 8:46,A Job,SUCCEEDED
9/12/2012 8:00,9/12/2012 8:09,D Job,SUCCEEDED
9/12/2012 10:21,9/12/2012 10:51,P Job,SUCCEEDED
9/12/2012 11:08,9/12/2012 11:33,N Job,FAILED
9/12/2012 12:27,9/12/2012 12:54,E Job,SUCCEEDED
8/12/2012 23:12,8/12/2012 0:26,A Job,KILLED
